VAE KL,Epoch Train Time,SVI KL,VAE PPL,AR PPL,VAE NLL,Epoch,Mode,VAE REC,SVI NLL,AR NLL,SVI REC,SVI PPL,LR
tensor(5.4229),26.285667419433594,tensor(0.),tensor(278.4001),tensor(1.),tensor(123.2046),1,Val,tensor(117.7816),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.001
tensor(5.5047),26.285667419433594,tensor(0.),tensor(264.5852),tensor(1.),tensor(122.2568),1,Test,tensor(116.7521),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.001
tensor(4.3694),25.10019063949585,tensor(0.),tensor(208.7747),tensor(1.),tensor(116.9053),2,Val,tensor(112.5360),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.0009755282581475768
tensor(4.3467),25.10019063949585,tensor(0.),tensor(198.4310),tensor(1.),tensor(115.9508),2,Test,tensor(111.6042),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.0009755282581475768
tensor(3.5513),25.61596131324768,tensor(0.),tensor(175.5052),tensor(1.),tensor(113.1060),3,Val,tensor(109.5547),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.0009045084971874737
tensor(3.5125),25.61596131324768,tensor(0.),tensor(167.2538),tensor(1.),tensor(112.2046),3,Test,tensor(108.6921),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.0009045084971874737
tensor(2.6594),25.82301354408264,tensor(0.),tensor(158.0820),tensor(1.),tensor(110.8176),4,Val,tensor(108.1582),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.0007938926261462366
tensor(2.6365),25.82301354408264,tensor(0.),tensor(150.1640),tensor(1.),tensor(109.8423),4,Test,tensor(107.2057),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.0007938926261462366
tensor(2.3134),25.82605528831482,tensor(0.),tensor(148.8931),tensor(1.),tensor(109.5069),5,Val,tensor(107.1934),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.0006545084971874737
tensor(2.2923),25.82605528831482,tensor(0.),tensor(141.3177),tensor(1.),tensor(108.5115),5,Test,tensor(106.2192),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.0006545084971874737
tensor(2.2334),25.83916664123535,tensor(0.),tensor(143.4904),tensor(1.),tensor(108.6979),6,Val,tensor(106.4645),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.0005
tensor(2.2142),25.83916664123535,tensor(0.),tensor(136.2711),tensor(1.),tensor(107.7145),6,Test,tensor(105.5003),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.0005
tensor(2.1125),25.85257863998413,tensor(0.),tensor(139.8849),tensor(1.),tensor(108.1409),7,Val,tensor(106.0284),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.00034549150281252633
tensor(2.0790),25.85257863998413,tensor(0.),tensor(132.3362),tensor(1.),tensor(107.0723),7,Test,tensor(104.9933),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.00034549150281252633
tensor(2.1277),25.75304865837097,tensor(0.),tensor(137.1890),tensor(1.),tensor(107.7150),8,Val,tensor(105.5873),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.00020610737385376348
tensor(2.1004),25.75304865837097,tensor(0.),tensor(130.2958),tensor(1.),tensor(106.7318),8,Test,tensor(104.6313),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.00020610737385376348
tensor(2.0959),25.444083213806152,tensor(0.),tensor(136.1042),tensor(1.),tensor(107.5412),9,Val,tensor(105.4454),tensor(0.),tensor(0.),tensor(0.),tensor(1.),9.549150281252633e-05
tensor(2.0705),25.444083213806152,tensor(0.),tensor(129.1600),tensor(1.),tensor(106.5399),9,Test,tensor(104.4694),tensor(0.),tensor(0.),tensor(0.),tensor(1.),9.549150281252633e-05
tensor(2.1355),25.842644929885864,tensor(0.),tensor(136.0722),tensor(1.),tensor(107.5361),10,Val,tensor(105.4006),tensor(0.),tensor(0.),tensor(0.),tensor(1.),2.4471741852423235e-05
tensor(2.1102),25.842644929885864,tensor(0.),tensor(129.0387),tensor(1.),tensor(106.5193),10,Test,tensor(104.4091),tensor(0.),tensor(0.),tensor(0.),tensor(1.),2.4471741852423235e-05
tensor(7.7614),25.934147357940674,tensor(0.),tensor(154.7179),tensor(1.),tensor(110.3468),11,Val,tensor(102.5854),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.001
tensor(7.7078),25.934147357940674,tensor(0.),tensor(146.8779),tensor(1.),tensor(109.3573),11,Test,tensor(101.6495),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.001
tensor(6.2038),25.826370000839233,tensor(0.),tensor(141.6990),tensor(1.),tensor(108.4229),12,Val,tensor(102.2191),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.0009755282581475768
tensor(6.1401),25.826370000839233,tensor(0.),tensor(134.8033),tensor(1.),tensor(107.4772),12,Test,tensor(101.3370),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.0009755282581475768
tensor(4.7905),25.01332974433899,tensor(0.),tensor(132.5022),tensor(1.),tensor(106.9542),13,Val,tensor(102.1637),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.0009045084971874737
tensor(4.7457),25.01332974433899,tensor(0.),tensor(125.8886),tensor(1.),tensor(105.9776),13,Test,tensor(101.2319),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.0009045084971874737
tensor(3.8923),25.615519046783447,tensor(0.),tensor(127.9042),tensor(1.),tensor(106.1812),14,Val,tensor(102.2888),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.0007938926261462366
tensor(3.8307),25.615519046783447,tensor(0.),tensor(121.1346),tensor(1.),tensor(105.1339),14,Test,tensor(101.3032),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.0007938926261462366
tensor(3.3166),25.54183554649353,tensor(0.),tensor(124.5249),tensor(1.),tensor(105.5951),15,Val,tensor(102.2785),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.0006545084971874737
