SVI REC,SVI KL,AR NLL,AR PPL,VAE NLL,SVI NLL,VAE REC,Mode,VAE PPL,Epoch,LR,Epoch Train Time,VAE KL,SVI PPL
tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(121.3493),tensor(0.),tensor(118.9170),Val,tensor(255.7745),1,0.001,27.341464042663574,tensor(2.4324),tensor(1.)
tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(120.3015),tensor(0.),tensor(117.9496),Test,tensor(242.0023),1,0.001,27.341464042663574,tensor(2.3519),tensor(1.)
tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(116.0553),tensor(0.),tensor(112.5426),Val,tensor(200.8217),2,0.001,25.696525812149048,tensor(3.5126),tensor(1.)
tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(115.1435),tensor(0.),tensor(111.6380),Test,tensor(191.2548),2,0.001,25.696525812149048,tensor(3.5055),tensor(1.)
tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(112.8862),tensor(0.),tensor(108.6627),Val,tensor(173.7518),3,0.001,24.852792739868164,tensor(4.2235),tensor(1.)
tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(112.0251),tensor(0.),tensor(107.8336),Test,tensor(165.8895),3,0.001,24.852792739868164,tensor(4.1914),tensor(1.)
tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(110.6942),tensor(0.),tensor(106.3503),Val,tensor(157.1933),4,0.001,25.44906497001648,tensor(4.3439),tensor(1.)
tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(109.7949),tensor(0.),tensor(105.5013),Test,tensor(149.8397),4,0.001,25.44906497001648,tensor(4.2936),tensor(1.)
tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(109.2765),tensor(0.),tensor(104.9850),Val,tensor(147.3339),5,0.001,25.627418041229248,tensor(4.2915),tensor(1.)
tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(108.3408),tensor(0.),tensor(104.0847),Test,tensor(140.2214),5,0.001,25.627418041229248,tensor(4.2561),tensor(1.)
tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(108.0319),tensor(0.),tensor(104.2303),Val,tensor(139.1898),6,0.001,25.48750329017639,tensor(3.8016),tensor(1.)
tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(107.1927),tensor(0.),tensor(103.4631),Test,tensor(133.0649),6,0.001,25.48750329017639,tensor(3.7296),tensor(1.)
tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(107.2759),tensor(0.),tensor(103.9299),Val,tensor(134.4645),7,0.001,25.35979461669922,tensor(3.3460),tensor(1.)
