VAE NLL,AR PPL,LR,SVI NLL,SVI REC,Mode,Epoch Train Time,AR NLL,VAE REC,SVI PPL,SVI KL,Epoch,VAE KL,VAE PPL
tensor(133.0891),tensor(1.),0.001,tensor(0.),tensor(0.),Val,671.3201324939728,tensor(0.),tensor(118.3736),tensor(1.),tensor(0.),1,tensor(14.7154),tensor(437.3218)
tensor(132.1410),tensor(1.),0.001,tensor(0.),tensor(0.),Test,671.3201324939728,tensor(0.),tensor(117.4434),tensor(1.),tensor(0.),1,tensor(14.6976),tensor(415.3587)
tensor(123.8251),tensor(1.),0.0009755282581475768,tensor(0.),tensor(0.),Val,658.9013471603394,tensor(0.),tensor(111.5746),tensor(1.),tensor(0.),2,tensor(12.2505),tensor(286.4061)
tensor(122.9592),tensor(1.),0.0009755282581475768,tensor(0.),tensor(0.),Test,658.9013471603394,tensor(0.),tensor(110.6395),tensor(1.),tensor(0.),2,tensor(12.3197),tensor(273.2012)
tensor(119.1635),tensor(1.),0.0009045084971874737,tensor(0.),tensor(0.),Val,680.8342125415802,tensor(0.),tensor(107.8949),tensor(1.),tensor(0.),3,tensor(11.2686),tensor(231.4644)
tensor(118.2124),tensor(1.),0.0009045084971874737,tensor(0.),tensor(0.),Test,680.8342125415802,tensor(0.),tensor(106.8670),tensor(1.),tensor(0.),3,tensor(11.3454),tensor(220.0001)
tensor(117.0351),tensor(1.),0.0007938926261462366,tensor(0.),tensor(0.),Val,710.1368360519409,tensor(0.),tensor(104.8340),tensor(1.),tensor(0.),4,tensor(12.2011),tensor(210.0163)
tensor(116.0843),tensor(1.),0.0007938926261462366,tensor(0.),tensor(0.),Test,710.1368360519409,tensor(0.),tensor(103.8017),tensor(1.),tensor(0.),4,tensor(12.2826),tensor(199.6432)
tensor(115.2373),tensor(1.),0.0006545084971874737,tensor(0.),tensor(0.),Val,680.2279748916626,tensor(0.),tensor(102.9546),tensor(1.),tensor(0.),5,tensor(12.2827),tensor(193.4548)
tensor(114.3332),tensor(1.),0.0006545084971874737,tensor(0.),tensor(0.),Test,680.2279748916626,tensor(0.),tensor(102.0008),tensor(1.),tensor(0.),5,tensor(12.3324),tensor(184.3130)
tensor(113.8577),tensor(1.),0.0005,tensor(0.),tensor(0.),Val,667.0149958133698,tensor(0.),tensor(101.5873),tensor(1.),tensor(0.),6,tensor(12.2704),tensor(181.6372)
tensor(113.0046),tensor(1.),0.0005,tensor(0.),tensor(0.),Test,667.0149958133698,tensor(0.),tensor(100.6618),tensor(1.),tensor(0.),6,tensor(12.3428),tensor(173.4719)
tensor(113.0198),tensor(1.),0.00034549150281252633,tensor(0.),tensor(0.),Val,679.5679657459259,tensor(0.),tensor(100.7820),tensor(1.),tensor(0.),7,tensor(12.2378),tensor(174.8155)
tensor(112.0910),tensor(1.),0.00034549150281252633,tensor(0.),tensor(0.),Test,679.5679657459259,tensor(0.),tensor(99.7913),tensor(1.),tensor(0.),7,tensor(12.2997),tensor(166.3897)
tensor(112.3816),tensor(1.),0.00020610737385376348,tensor(0.),tensor(0.),Val,668.0088346004486,tensor(0.),tensor(100.4796),tensor(1.),tensor(0.),8,tensor(11.9020),tensor(169.7915)
tensor(111.4839),tensor(1.),0.00020610737385376348,tensor(0.),tensor(0.),Test,668.0088346004486,tensor(0.),tensor(99.5119),tensor(1.),tensor(0.),8,tensor(11.9720),tensor(161.8434)
tensor(111.6327),tensor(1.),9.549150281252633e-05,tensor(0.),tensor(0.),Val,664.0914194583893,tensor(0.),tensor(100.1025),tensor(1.),tensor(0.),9,tensor(11.5302),tensor(164.0799)
tensor(110.6843),tensor(1.),9.549150281252633e-05,tensor(0.),tensor(0.),Test,664.0914194583893,tensor(0.),tensor(99.0900),tensor(1.),tensor(0.),9,tensor(11.5943),tensor(156.0455)
tensor(111.3263),tensor(1.),2.4471741852423235e-05,tensor(0.),tensor(0.),Val,665.2597329616547,tensor(0.),tensor(100.1287),tensor(1.),tensor(0.),10,tensor(11.1976),tensor(161.7992)
tensor(110.3926),tensor(1.),2.4471741852423235e-05,tensor(0.),tensor(0.),Test,665.2597329616547,tensor(0.),tensor(99.1371),tensor(1.),tensor(0.),10,tensor(11.2555),tensor(153.9825)
tensor(111.3633),tensor(1.),0.001,tensor(0.),tensor(0.),Val,672.7208955287933,tensor(0.),tensor(101.7723),tensor(1.),tensor(0.),11,tensor(9.5910),tensor(162.0728)
tensor(110.4706),tensor(1.),0.001,tensor(0.),tensor(0.),Test,672.7208955287933,tensor(0.),tensor(100.8039),tensor(1.),tensor(0.),11,tensor(9.6667),tensor(154.5313)
tensor(109.9608),tensor(1.),0.0009755282581475768,tensor(0.),tensor(0.),Val,662.8303351402283,tensor(0.),tensor(100.9072),tensor(1.),tensor(0.),12,tensor(9.0536),tensor(152.0132)
tensor(109.0169),tensor(1.),0.0009755282581475768,tensor(0.),tensor(0.),Test,662.8303351402283,tensor(0.),tensor(99.8884),tensor(1.),tensor(0.),12,tensor(9.1285),tensor(144.6139)
tensor(109.0503),tensor(1.),0.0009045084971874737,tensor(0.),tensor(0.),Val,661.9139051437378,tensor(0.),tensor(100.2153),tensor(1.),tensor(0.),13,tensor(8.8350),tensor(145.8191)
tensor(107.9397),tensor(1.),0.0009045084971874737,tensor(0.),tensor(0.),Test,661.9139051437378,tensor(0.),tensor(99.0663),tensor(1.),tensor(0.),13,tensor(8.8734),tensor(137.6784)
tensor(108.2683),tensor(1.),0.0007938926261462366,tensor(0.),tensor(0.),Val,669.5534806251526,tensor(0.),tensor(99.5517),tensor(1.),tensor(0.),14,tensor(8.7166),tensor(140.7015)
tensor(107.0862),tensor(1.),0.0007938926261462366,tensor(0.),tensor(0.),Test,669.5534806251526,tensor(0.),tensor(98.3394),tensor(1.),tensor(0.),14,tensor(8.7467),tensor(132.4197)
tensor(107.7412),tensor(1.),0.0006545084971874737,tensor(0.),tensor(0.),Val,664.4091491699219,tensor(0.),tensor(99.3186),tensor(1.),tensor(0.),15,tensor(8.4226),tensor(137.3535)
tensor(106.5745),tensor(1.),0.0006545084971874737,tensor(0.),tensor(0.),Test,664.4091491699219,tensor(0.),tensor(98.1274),tensor(1.),tensor(0.),15,tensor(8.4471),tensor(129.3642)
tensor(107.2996),tensor(1.),0.0005,tensor(0.),tensor(0.),Val,670.0474786758423,tensor(0.),tensor(98.9483),tensor(1.),tensor(0.),16,tensor(8.3513),tensor(134.6102)
tensor(106.0024),tensor(1.),0.0005,tensor(0.),tensor(0.),Test,670.0474786758423,tensor(0.),tensor(97.6344),tensor(1.),tensor(0.),16,tensor(8.3680),tensor(126.0312)
tensor(106.7313),tensor(1.),0.00034549150281252633,tensor(0.),tensor(0.),Val,661.7789912223816,tensor(0.),tensor(98.6421),tensor(1.),tensor(0.),17,tensor(8.0892),tensor(131.1598)
tensor(105.5501),tensor(1.),0.00034549150281252633,tensor(0.),tensor(0.),Test,661.7789912223816,tensor(0.),tensor(97.4448),tensor(1.),tensor(0.),17,tensor(8.1053),tensor(123.4569)
tensor(106.6353),tensor(1.),0.00020610737385376348,tensor(0.),tensor(0.),Val,662.6407344341278,tensor(0.),tensor(98.4286),tensor(1.),tensor(0.),18,tensor(8.2067),tensor(130.5856)
tensor(105.4637),tensor(1.),0.00020610737385376348,tensor(0.),tensor(0.),Test,662.6407344341278,tensor(0.),tensor(97.2439),tensor(1.),tensor(0.),18,tensor(8.2198),tensor(122.9710)
tensor(106.4716),tensor(1.),9.549150281252633e-05,tensor(0.),tensor(0.),Val,664.0172564983368,tensor(0.),tensor(98.4283),tensor(1.),tensor(0.),19,tensor(8.0433),tensor(129.6125)
tensor(105.1970),tensor(1.),9.549150281252633e-05,tensor(0.),tensor(0.),Test,664.0172564983368,tensor(0.),tensor(97.1432),tensor(1.),tensor(0.),19,tensor(8.0538),tensor(121.4837)
