SVI KL,Mode,VAE PPL,LR,AR PPL,SVI PPL,AR NLL,SVI NLL,SVI REC,VAE REC,VAE KL,Epoch Train Time,Epoch,VAE NLL
tensor(0.),Val,tensor(278.4001),0.001,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(117.7816),tensor(5.4229),25.858771562576294,1,tensor(123.2046)
tensor(0.),Test,tensor(264.5852),0.001,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(116.7521),tensor(5.5047),25.858771562576294,1,tensor(122.2568)
tensor(0.),Val,tensor(208.7747),0.0009755282581475768,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(112.5360),tensor(4.3694),25.640207290649414,2,tensor(116.9053)
tensor(0.),Test,tensor(198.4310),0.0009755282581475768,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(111.6042),tensor(4.3467),25.640207290649414,2,tensor(115.9508)
tensor(0.),Val,tensor(175.5052),0.0009045084971874737,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(109.5547),tensor(3.5513),25.685651302337646,3,tensor(113.1060)
tensor(0.),Test,tensor(167.2538),0.0009045084971874737,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(108.6921),tensor(3.5125),25.685651302337646,3,tensor(112.2046)
tensor(0.),Val,tensor(158.0820),0.0007938926261462366,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(108.1582),tensor(2.6594),25.88636040687561,4,tensor(110.8176)
tensor(0.),Test,tensor(150.1640),0.0007938926261462366,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(107.2057),tensor(2.6365),25.88636040687561,4,tensor(109.8423)
tensor(0.),Val,tensor(148.8931),0.0006545084971874737,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(107.1934),tensor(2.3134),25.88051462173462,5,tensor(109.5069)
tensor(0.),Test,tensor(141.3177),0.0006545084971874737,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(106.2192),tensor(2.2923),25.88051462173462,5,tensor(108.5115)
tensor(0.),Val,tensor(143.4904),0.0005,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(106.4645),tensor(2.2334),25.856990098953247,6,tensor(108.6979)
tensor(0.),Test,tensor(136.2711),0.0005,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(105.5003),tensor(2.2142),25.856990098953247,6,tensor(107.7145)
tensor(0.),Val,tensor(139.8849),0.00034549150281252633,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(106.0284),tensor(2.1125),25.858470916748047,7,tensor(108.1409)
tensor(0.),Test,tensor(132.3362),0.00034549150281252633,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(104.9933),tensor(2.0790),25.858470916748047,7,tensor(107.0723)
tensor(0.),Val,tensor(137.1890),0.00020610737385376348,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(105.5873),tensor(2.1277),25.789034605026245,8,tensor(107.7150)
tensor(0.),Test,tensor(130.2958),0.00020610737385376348,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(104.6313),tensor(2.1004),25.789034605026245,8,tensor(106.7318)
tensor(0.),Val,tensor(136.1042),9.549150281252633e-05,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(105.4454),tensor(2.0959),25.836608409881592,9,tensor(107.5412)
tensor(0.),Test,tensor(129.1600),9.549150281252633e-05,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(104.4694),tensor(2.0705),25.836608409881592,9,tensor(106.5399)
tensor(0.),Val,tensor(136.0722),2.4471741852423235e-05,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(105.4006),tensor(2.1355),25.816357851028442,10,tensor(107.5361)
tensor(0.),Test,tensor(129.0387),2.4471741852423235e-05,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(104.4091),tensor(2.1102),25.816357851028442,10,tensor(106.5193)
tensor(0.),Val,tensor(154.7179),0.001,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(102.5854),tensor(7.7614),25.821857452392578,11,tensor(110.3468)
tensor(0.),Test,tensor(146.8779),0.001,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(101.6495),tensor(7.7078),25.821857452392578,11,tensor(109.3573)
tensor(0.),Val,tensor(141.6990),0.0009755282581475768,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(102.2191),tensor(6.2038),25.79581046104431,12,tensor(108.4229)
tensor(0.),Test,tensor(134.8033),0.0009755282581475768,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(101.3370),tensor(6.1401),25.79581046104431,12,tensor(107.4772)
tensor(0.),Val,tensor(132.5022),0.0009045084971874737,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(102.1637),tensor(4.7905),25.7590491771698,13,tensor(106.9542)
tensor(0.),Test,tensor(125.8886),0.0009045084971874737,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(101.2319),tensor(4.7457),25.7590491771698,13,tensor(105.9776)
tensor(0.),Val,tensor(127.9042),0.0007938926261462366,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(102.2888),tensor(3.8923),25.88858985900879,14,tensor(106.1812)
tensor(0.),Test,tensor(121.1346),0.0007938926261462366,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(101.3032),tensor(3.8307),25.88858985900879,14,tensor(105.1339)
tensor(0.),Val,tensor(124.5249),0.0006545084971874737,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(102.2785),tensor(3.3166),25.748769998550415,15,tensor(105.5951)
tensor(0.),Test,tensor(118.2423),0.0006545084971874737,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(101.3412),tensor(3.2631),25.748769998550415,15,tensor(104.6043)
tensor(0.),Val,tensor(122.9202),0.0005,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(102.2652),tensor(3.0461),24.957188606262207,16,tensor(105.3112)
tensor(0.),Test,tensor(116.3107),0.0005,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(101.2535),tensor(2.9898),24.957188606262207,16,tensor(104.2433)
tensor(0.),Val,tensor(121.7164),0.00034549150281252633,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(102.0843),tensor(3.0115),25.33712863922119,17,tensor(105.0958)
tensor(0.),Test,tensor(114.7821),0.00034549150281252633,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(100.9955),tensor(2.9578),25.33712863922119,17,tensor(103.9533)
tensor(0.),Val,tensor(121.0929),0.00020610737385376348,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(102.0108),tensor(2.9726),25.384633541107178,18,tensor(104.9834)
tensor(0.),Test,tensor(114.2504),0.00020610737385376348,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(100.9289),tensor(2.9227),25.384633541107178,18,tensor(103.8516)
